User_ID,Age,Subscription_Type,Monthly_Revenue,Join_Date,Last_Device,Total_Watch_Time_Hrs,Favorite_Genre,Churned
1,53,Free,0.0,2021-01-01 00:00:00,Tablet,12.78,Documentary,0
2,66,Standard,12.99,2021-01-01 01:00:00,Mobile,24.41,Horror,1
3,43,Free,0.0,2021-01-01 02:00:00,Mobile,24.87,Sci-Fi,0
4,29,Standard,12.99,2021-01-01 03:00:00,Laptop,36.74,Documentary,0
5,57,Free,0.0,2021-01-01 04:00:00,TV,29.9,Romance,0
6,22,Standard,12.99,2021-01-01 05:00:00,TV,26.01,Horror,1
7,35,Free,0.0,2021-01-01 06:00:00,Mobile,24.31,Documentary,0
8,53,Free,0.0,2021-01-01 07:00:00,Laptop,5.24,Documentary,0
9,33,Standard,12.99,2021-01-01 08:00:00,Mobile,27.75,Sci-Fi,0
10,37,Premium,19.99,2021-01-01 09:00:00,Laptop,21.18,Romance,0
11,25,Premium,19.99,2021-01-01 10:00:00,Laptop,23.62,Sci-Fi,0
12,25,Free,0.0,2021-01-01 11:00:00,Tablet,42.95,Documentary,0
13,38,Standard,12.99,2021-01-01 12:00:00,Laptop,16.16,Documentary,0
14,67,Standard,12.99,2021-01-01 13:00:00,Tablet,21.28,Sci-Fi,1
15,50,Free,0.0,2021-01-01 14:00:00,Mobile,14.62,Documentary,0
16,54,Free,0.0,2021-01-01 15:00:00,Mobile,20.23,Action,0
17,38,Standard,12.99,2021-01-01 16:00:00,TV,40.05,Horror,0
18,17,Premium,19.99,2021-01-01 17:00:00,Tablet,25.36,Romance,0
19,36,Standard,12.99,2021-01-01 18:00:00,Mobile,18.04,Horror,0
20,67,Standard,12.99,2021-01-01 19:00:00,Tablet,27.55,Romance,0
21,16,Standard,12.99,2021-01-01 20:00:00,Mobile,11.55,Documentary,0
22,38,Free,0.0,2021-01-01 21:00:00,Tablet,28.21,Sci-Fi,0
23,58,Standard,12.99,2021-01-01 22:00:00,Tablet,30.26,Sci-Fi,0
24,44,Standard,12.99,2021-01-01 23:00:00,Laptop,9.81,Documentary,0
25,52,Free,0.0,2021-01-02 00:00:00,Mobile,3.4,Romance,0
26,16,Premium,19.99,2021-01-02 01:00:00,TV,32.44,Documentary,0
27,35,Free,0.0,2021-01-02 02:00:00,Laptop,11.06,Romance,0
28,47,Premium,19.99,2021-01-02 03:00:00,TV,23.41,Documentary,0
29,26,Free,0.0,2021-01-02 04:00:00,Tablet,35.85,Documentary,1
30,36,Free,0.0,2021-01-02 05:00:00,Laptop,18.63,Documentary,1
31,58,Free,0.0,2021-01-02 06:00:00,Tablet,22.89,Sci-Fi,0
32,39,Standard,12.99,2021-01-02 07:00:00,Mobile,29.33,Romance,0
33,63,Free,0.0,2021-01-02 08:00:00,Mobile,26.96,Documentary,0
34,41,Standard,12.99,2021-01-02 09:00:00,TV,50.45,Horror,0
35,56,Standard,12.99,2021-01-02 10:00:00,Mobile,31.39,Horror,0
36,42,Standard,12.99,2021-01-02 11:00:00,TV,8.3,Sci-Fi,1
37,30,Free,0.0,2021-01-02 12:00:00,Tablet,17.59,Action,1
38,29,Standard,12.99,2021-01-02 13:00:00,Laptop,34.41,Sci-Fi,0
39,61,Free,0.0,2021-01-02 14:00:00,Mobile,35.88,Action,0
40,65,Standard,12.99,2021-01-02 15:00:00,Tablet,16.16,Sci-Fi,0
41,58,Free,0.0,2021-01-02 16:00:00,Laptop,,Horror,0
42,69,Premium,19.99,2021-01-02 17:00:00,Tablet,39.22,Documentary,0
43,66,Standard,12.99,2021-01-02 18:00:00,TV,41.45,Romance,0
44,17,Standard,12.99,2021-01-02 19:00:00,Tablet,20.16,Documentary,0
45,51,Standard,12.99,2021-01-02 20:00:00,TV,18.82,Horror,0
46,65,Free,0.0,2021-01-02 21:00:00,TV,26.87,Romance,0
47,21,Free,0.0,2021-01-02 22:00:00,Mobile,28.24,Action,0
48,35,Premium,19.99,2021-01-02 23:00:00,TV,53.13,Action,0
49,23,Premium,19.99,2021-01-03 00:00:00,TV,54.91,Horror,0
50,53,Free,0.0,2021-01-03 01:00:00,Tablet,15.99,Romance,0
51,32,Standard,12.99,2021-01-03 02:00:00,TV,25.64,Documentary,0
52,18,Standard,12.99,2021-01-03 03:00:00,TV,35.54,Horror,0
53,39,Standard,12.99,2021-01-03 04:00:00,Tablet,41.58,Action,0
54,28,Free,0.0,2021-01-03 05:00:00,Laptop,19.42,Horror,1
55,64,Free,0.0,2021-01-03 06:00:00,Mobile,28.07,Documentary,0
56,23,Free,0.0,2021-01-03 07:00:00,Tablet,37.46,Sci-Fi,0
57,40,Premium,19.99,2021-01-03 08:00:00,TV,32.38,Sci-Fi,0
58,67,Standard,12.99,2021-01-03 09:00:00,Tablet,8.67,Documentary,0
59,16,Standard,12.99,2021-01-03 10:00:00,Laptop,34.6,Romance,0
60,34,Premium,19.99,2021-01-03 11:00:00,Tablet,37.17,Horror,0
61,42,Standard,12.99,2021-01-03 12:00:00,Tablet,7.54,Documentary,0
62,61,Premium,19.99,2021-01-03 13:00:00,Tablet,20.72,Sci-Fi,0
63,21,Standard,12.99,2021-01-03 14:00:00,Tablet,36.9,Action,0
64,58,Free,0.0,2021-01-03 15:00:00,TV,51.36,Documentary,0
65,22,Premium,19.99,2021-01-03 16:00:00,Tablet,11.79,Documentary,0
66,61,Standard,12.99,2021-01-03 17:00:00,Laptop,25.59,Documentary,1
67,49,Free,0.0,2021-01-03 18:00:00,Tablet,36.1,Sci-Fi,0
68,28,Free,0.0,2021-01-03 19:00:00,Tablet,38.14,Sci-Fi,1
69,31,Free,0.0,2021-01-03 20:00:00,TV,28.9,Documentary,1
70,50,Standard,12.99,2021-01-03 21:00:00,TV,36.15,Documentary,0
71,64,Premium,19.99,2021-01-03 22:00:00,Tablet,29.7,Romance,0
72,54,Premium,19.99,2021-01-03 23:00:00,TV,45.48,Action,0
